%time,field.header.seq,field.header.stamp,field.header.frame_id,field.batteryPercent,field.state,field.magX,field.magY,field.magZ,field.pressure,field.temp,field.wind_speed,field.wind_angle,field.wind_comp_angle,field.rotX,field.rotY,field.rotZ,field.altd,field.vx,field.vy,field.vz,field.ax,field.ay,field.az,field.motor1,field.motor2,field.motor3,field.motor4,field.tags_count,field.tm
1405448215450237050,0,1405448215450237050,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215450609084,1,1405448215450609084,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215450983866,2,1405448215450983866,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215451486558,3,1405448215451486558,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215452335993,4,1405448215452335993,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215456320327,5,1405448215456320327,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215456465666,6,1405448215456465666,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215456702037,7,1405448215456702037,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215481982917,8,1405448215481982917,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215501574587,9,1405448215501574587,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215502785153,10,1405448215502785153,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215503091146,11,1405448215503091146,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215503523224,12,1405448215503523224,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215503770706,13,1405448215503770706,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215504340140,14,1405448215504340140,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215505142393,15,1405448215505142393,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215543084537,16,1405448215543084537,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215543419576,17,1405448215543419576,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215543715842,18,1405448215543715842,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215544114471,19,1405448215544114471,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215544403604,20,1405448215544403604,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215544708523,21,1405448215544708523,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215545116050,22,1405448215545116050,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215545421668,23,1405448215545421668,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215545723980,24,1405448215545723980,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215546045909,25,1405448215546045909,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215623698164,26,1405448215623698164,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215623989339,27,1405448215623989339,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
1405448215624405515,28,1405448215624405515,ardrone_base_link,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0,0,0,0,0,0.0
