%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1405689220826860390,34,1405689220826860390,ardrone_base_link,0.0715227851857,0.00988013069845,-0.00447876315357,0.997379975184,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-7.49826431274e-05,-0.00374253094196,-0.00286559760571,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.153973515332,-0.302996183559,9.71544783115,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220828100877,35,1405689220828100877,ardrone_base_link,0.0715227851857,0.00988013069845,-0.00447876315357,0.997379975184,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000938609300647,-0.00422919169068,-0.00283052190207,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.155081747472,-0.30205623433,9.71550565958,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220829389569,36,1405689220829389569,ardrone_base_link,0.071522871405,0.0098795065328,-0.00448746709223,0.99737993606,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00277677178383,-0.000455696135759,-0.00160838570446,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.155304226279,-0.30222097598,9.71545308828,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220830733725,37,1405689220830733725,ardrone_base_link,0.0715141376219,0.00987084145727,-0.00448675740115,0.997380651315,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00169705599546,-0.00281742960215,-0.00434048799798,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.155038832501,-0.302295634523,9.71548404694,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220832156480,38,1405689220832156480,ardrone_base_link,0.0715140778721,0.0098801697985,-0.00447867689803,0.997380599553,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00149705633521,-0.00173958390951,-0.0029356572777,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.176785077155,-0.303402461112,9.71599340439,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220833373661,39,1405689220833373661,ardrone_base_link,0.0715053969421,0.00988891315429,-0.00447921400762,0.997381132891,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.000287622213364,-4.65922057629e-05,-0.00256033521146,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.17504536882,-0.303899843991,9.71597471237,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220834885088,40,1405689220834885088,ardrone_base_link,0.0715052843301,0.00988083289213,-0.00446988695165,0.99738126289,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00136283424217,-0.00368444249034,-0.00244198413566,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.146200666577,-0.303788312525,9.71534969807,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220837448029,41,1405689220837448029,ardrone_base_link,0.0715052843301,0.00988083289213,-0.00446988695165,0.99738126289,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000210594385862,-0.00102985650301,-4.2459461838e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.14781681411,-0.304092057794,9.71540752649,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220838537225,42,1405689220838537225,ardrone_base_link,0.0715051718566,0.0098727526466,-0.00446055963402,0.997381392728,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000397469877498,-0.00359220430255,-0.00177369872108,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.151669815555,-0.304300316796,9.71551033258,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405689220839891139,43,1405689220839891139,ardrone_base_link,0.0715051456116,0.00986404942572,-0.0044599363406,0.99738148351,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.000547200499568,-0.00509610027075,-0.00270380428992,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.149548773654,-0.304317256436,9.71546769142,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
