%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1405448445401079618,21,1405448445401079618,ardrone_base_link,-0.0395359621711,0.00844579210106,-0.00508872510399,0.999169495715,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000233027152717,-0.00353613332845,6.02152758802e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0352700304706,-0.299188287556,9.7423216939,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445402411888,22,1405448445402411888,ardrone_base_link,-0.0395360122675,0.00843707283581,-0.00508907089463,0.999169565636,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00134162697941,-0.00617531687021,4.79196969536e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0350031672511,-0.29831299372,9.72479851246,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445403676462,23,1405448445403676462,ardrone_base_link,-0.0395360122675,0.00843707283581,-0.00508907089463,0.999169565636,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00170158781111,-0.00458016805351,-5.93723962083e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0345405991655,-0.297983802482,9.70493298769,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445405055098,24,1405448445405055098,ardrone_base_link,-0.0395360122675,0.00843707283581,-0.00508907089463,0.999169565636,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000702749472111,-0.00576987955719,2.96710641123e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0356172155123,-0.299359126016,9.73240441084,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445406258796,25,1405448445406258796,ardrone_base_link,-0.0395360623639,0.0084283530502,-0.00508941670548,0.999169635485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000850212294608,-0.00447551021352,4.32377855759e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0354312719312,-0.3001739081,9.7353472352,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445409308658,26,1405448445409308658,ardrone_base_link,-0.0395360623639,0.0084283530502,-0.00508941670548,0.999169635485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00121047580615,-0.00427924701944,2.5401932362e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0337245050818,-0.299970267341,9.70492539406,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445410667775,27,1405448445410667775,ardrone_base_link,-0.0395360623639,0.0084283530502,-0.00508941670548,0.999169635485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00100505515002,-0.00513780070469,3.10877949232e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0331571092829,-0.300496838242,9.70829638243,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445413667643,28,1405448445413667643,ardrone_base_link,-0.0395360623639,0.0084283530502,-0.00508941670548,0.999169635485,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00108634727076,-0.00502323638648,2.99088933389e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0336032876279,-0.301475211978,9.73614398241,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445446686458,29,1405448445446686458,ardrone_base_link,-0.0395360389785,0.00841997879694,-0.00509848179275,0.9991696608,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00365140940994,-0.00476298108697,2.56697458099e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0340516952332,-0.302055796236,9.7571339488,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445447858875,30,1405448445447858875,ardrone_base_link,-0.0395360389785,0.00841997879694,-0.00509848179275,0.9991696608,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00265278271399,-0.00489143561572,3.16195946652e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0337962270249,-0.301730620861,9.75178627968,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445449359439,31,1405448445449359439,ardrone_base_link,-0.0395359654953,0.00842032383013,-0.00510720160948,0.999169616267,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00640272954479,-0.00479659345001,3.11925759888e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0338110081386,-0.3012873061,9.74849414825,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445450799894,32,1405448445450799894,ardrone_base_link,-0.0395358920135,0.00842066884213,-0.00511592090611,0.999169571661,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00409280648455,-0.00481913983822,2.82513938146e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0332940091379,-0.300160418451,9.72711457014,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445451845139,33,1405448445451845139,ardrone_base_link,-0.0395359423291,0.00841194957626,-0.00511626669741,0.999169641344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00250327703543,-0.00491638854146,2.97470560326e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0332946160808,-0.276282498986,9.70464326143,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445453105935,34,1405448445453105935,ardrone_base_link,-0.0395359423291,0.00841194957626,-0.00511626669741,0.999169641344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00267415097915,-0.00485054496676,2.97531296383e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0351979776751,-0.254298369214,9.73494769335,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445454420846,35,1405448445454420846,ardrone_base_link,-0.039536089142,0.0084112595302,-0.00509882758283,0.999169730489,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.00120391277596,-0.00482532382011,2.92888944387e-05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0354039070196,-0.259316372499,9.73707449436,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445455886201,36,1405448445455886201,ardrone_base_link,-0.0395273662046,0.00841121501617,-0.00509890101448,0.999170075608,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00170908193104,-0.0048571638763,0.00141414231621,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0352498256601,-0.261870443076,9.7301123023,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445457005385,37,1405448445457005385,ardrone_base_link,-0.0395274896877,0.00840215080775,-0.00509052742642,0.999170189683,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.000711326953024,-0.00484616309404,0.000935660325922,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0354564600624,-0.260792238638,9.73284717798,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445458502643,38,1405448445458502643,ardrone_base_link,-0.0395188442239,0.00840176152479,-0.00508188143855,0.999170578948,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00114679988474,-0.0048477165401,0.001543776365,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0345643999986,-0.261512940004,9.70870585442,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445459671721,39,1405448445459671721,ardrone_base_link,-0.0395188442239,0.00840176152479,-0.00508188143855,0.999170578948,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00401331298053,-0.00485472101718,0.000753664178774,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0345435540192,-0.262636103854,9.70959606171,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445461093618,40,1405448445461093618,ardrone_base_link,-0.0395188442239,0.00840176152479,-0.00508188143855,0.999170578948,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00252633518539,-0.00484319962561,-0.000691087916493,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.034642234724,-0.263993082196,9.71463239193,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445462422140,41,1405448445462422140,ardrone_base_link,-0.039518894228,0.00839304224986,-0.00508222707444,0.999170648492,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00363252405077,-0.00484336493537,0.00018534832634,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0353283129632,-0.265034377202,9.73571056128,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445463680504,42,1405448445463680504,ardrone_base_link,-0.039518894228,0.00839304224986,-0.00508222707444,0.999170648492,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00252963742241,-0.00484808022156,-0.000471145205665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0361220345832,-0.265710721537,9.75947862864,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445464916942,43,1405448445464916942,ardrone_base_link,-0.0395189674687,0.0083926973862,-0.00507350776841,0.999170692805,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,0.000291528878734,-0.0048447092995,0.000236185645917,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0358446776401,-0.2650448367,9.7532173872,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445466468838,44,1405448445466468838,ardrone_base_link,-0.0395189674687,0.0083926973862,-0.00507350776841,0.999170692805,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00132223544642,-0.00484405457973,0.000346464687027,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0351865028031,-0.28666341342,9.74948716164,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
1405448445470518288,45,1405448445470518288,ardrone_base_link,-0.0395190173967,0.00838397759048,-0.0050738534239,0.99917076228,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0,-0.00270793261006,-0.00484424782917,-0.000124702695757,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0355705060065,-0.308668571711,9.77344390154,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
