%time,field.header.seq,field.header.stamp,field.header.frame_id,field.batteryPercent,field.state,field.magX,field.magY,field.magZ,field.pressure,field.temp,field.wind_speed,field.wind_angle,field.wind_comp_angle,field.rotX,field.rotY,field.rotZ,field.altd,field.vx,field.vy,field.vz,field.ax,field.ay,field.az,field.motor1,field.motor2,field.motor3,field.motor4,field.tags_count,field.tm
1405448445332087744,0,1405448445332087744,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625,0.944000005722,-4.53900003433,233,0.0,-0.0,-0.0,0.00785328168422,-0.0308236591518,0.993223071098,0,0,0,0,0,49416680.0
1405448445333336357,1,1405448445333336357,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625,0.944000005722,-4.53900003433,233,0.0,-0.0,-0.0,0.0055378107354,-0.0306642893702,0.995623707771,0,0,0,0,0,49421640.0
1405448445334670726,2,1405448445334670726,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625,0.944000005722,-4.53900003433,233,0.0,-0.0,-0.0,0.00272518419661,-0.0308797098696,0.995090782642,0,0,0,0,0,49426612.0
1405448445336188922,3,1405448445336188922,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625,0.943000018597,-4.53900003433,233,0.0,-0.0,-0.0,0.00343970907852,-0.030838785693,0.994768261909,0,0,0,0,0,49431640.0
1405448445337195188,4,1405448445337195188,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625,0.943000018597,-4.53900003433,233,0.0,-0.0,-0.0,0.00370453670621,-0.0309002809227,0.997320473194,0,0,0,0,0,49436648.0
1405448445338481068,5,1405448445338481068,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625,0.943000018597,-4.53900003433,233,0.0,-0.0,-0.0,0.00357530266047,-0.0332209393382,0.999508500099,0,0,0,0,0,49441688.0
1405448445339829100,6,1405448445339829100,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625999987125,0.944000005722,-4.53900003433,233,0.0,-0.0,-0.0,0.00340954982676,-0.0353674888611,0.996434509754,0,0,0,0,0,49446640.0
1405448445341251643,7,1405448445341251643,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625999987125,0.944999992847,-4.53900003433,233,0.0,-0.0,-0.0,0.00339851155877,-0.0323930904269,0.993908166885,0,0,0,0,0,49451664.0
1405448445342746204,8,1405448445342746204,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625999987125,0.944999992847,-4.53900003433,233,0.0,-0.0,-0.0,0.0035536410287,-0.0298405177891,0.994799017906,0,0,0,0,0,49456684.0
1405448445343857922,9,1405448445343857922,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.625999987125,0.944999992847,-4.53900003433,233,0.0,-0.0,-0.0,0.00359685136937,-0.0305607002228,0.99502581358,0,0,0,0,0,49461636.0
1405448445346394582,10,1405448445346394582,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.623000025749,0.945999979973,-4.53800010681,235,0.0,-0.0,-0.0,0.00704638613388,-0.0298930536956,0.990419447422,0,0,0,0,0,49586524.0
1405448445347693011,11,1405448445347693011,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.621999979019,0.944999992847,-4.53800010681,235,0.0,-0.0,-0.0,0.00718159787357,-0.0301281698048,0.990506291389,0,0,0,0,0,49591536.0
1405448445350602687,12,1405448445350602687,ardrone_base_link,75.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.620999991894,0.944000005722,-4.53800010681,235,0.0,-0.0,-0.0,0.00490504037589,-0.0306852664798,0.993465781212,0,0,0,0,0,49596936.0
