%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1405689314294662952,0.0,0.0,0.0,1.0,1.0,0.0
1405689314304327011,0.0,0.0,0.0,1.0,1.0,0.0
1405689314314831018,0.0,0.0,0.0,1.0,1.0,0.0
1405689314324459075,0.0,0.0,0.0,1.0,1.0,0.0
1405689314334460020,0.0,0.0,0.0,1.0,1.0,0.0
1405689314344476938,0.0,0.0,0.0,1.0,1.0,0.0
1405689314354298114,0.0,0.0,0.0,1.0,1.0,0.0
1405689314364665985,0.0,0.0,0.0,1.0,1.0,0.0
1405689314374519109,0.0,0.0,0.0,1.0,1.0,0.0
1405689314385101079,0.0,0.0,0.0,1.0,1.0,0.0
1405689314394679069,0.0,0.0,0.0,1.0,1.0,0.0
1405689314404547929,0.0,0.0,0.0,1.0,1.0,0.0
1405689314415035963,0.0,0.0,0.0,1.0,1.0,0.0
1405689314424745082,0.0,0.0,0.0,1.0,1.0,0.0
1405689314434571981,0.0,0.0,0.0,1.0,1.0,0.0
1405689314445230960,0.0,0.0,0.0,1.0,1.0,0.0
1405689314455002069,0.0,0.0,0.0,1.0,1.0,0.0
1405689314465058088,0.0,0.0,0.0,1.0,1.0,0.0
1405689314474909067,0.0,0.0,0.0,1.0,1.0,0.0
1405689314484627962,0.0,0.0,0.0,1.0,1.0,0.0
1405689314494410037,0.0,0.0,0.0,1.0,1.0,0.0
1405689314504667997,0.0,0.0,0.0,1.0,1.0,0.0
1405689314514635086,0.0,0.0,0.0,1.0,1.0,0.0
1405689314524719953,0.0,0.0,0.0,1.0,1.0,0.0
1405689314534837961,0.0,0.0,0.0,1.0,1.0,0.0
1405689314544342994,0.0,0.0,0.0,1.0,1.0,0.0
1405689314554879903,0.0,0.0,0.0,1.0,1.0,0.0
1405689314564709901,0.0,0.0,0.0,1.0,1.0,0.0
1405689314574620962,0.0,0.0,0.0,1.0,1.0,0.0
1405689314584696054,0.0,0.0,0.0,1.0,1.0,0.0
1405689314595279932,0.0,0.0,0.0,1.0,1.0,0.0
1405689314604353904,0.0,0.0,0.0,1.0,1.0,0.0
1405689314615006923,0.0,0.0,0.0,1.0,1.0,0.0
1405689314624602079,0.0,0.0,0.0,1.0,1.0,0.0
1405689314634991884,0.0,0.0,0.0,1.0,1.0,0.0
1405689314645036935,0.0,0.0,0.0,1.0,1.0,0.0
1405689314654640913,0.0,0.0,0.0,1.0,1.0,0.0
1405689314664738893,0.0,0.0,0.0,1.0,1.0,0.0
1405689314674731969,0.0,0.0,0.0,1.0,1.0,0.0
1405689314684456110,0.0,0.0,0.0,1.0,1.0,0.0
1405689314694770097,0.0,0.0,0.0,1.0,1.0,0.0
1405689314704627037,0.0,0.0,0.0,1.0,1.0,0.0
1405689314714905977,0.0,0.0,0.0,1.0,1.0,0.0
1405689314724714994,0.0,0.0,0.0,1.0,1.0,0.0
1405689314735328912,0.0,0.0,0.0,1.0,1.0,0.0
1405689314744482040,0.0,0.0,0.0,1.0,1.0,0.0
1405689314754570007,0.0,0.0,0.0,1.0,1.0,0.0
1405689314764662981,0.0,0.0,0.0,1.0,1.0,0.0
1405689314774806976,0.0,0.0,0.0,1.0,1.0,0.0
1405689314784588098,0.0,0.0,0.0,1.0,1.0,0.0
1405689314794739961,0.0,0.0,0.0,1.0,1.0,0.0
1405689314804512977,0.0,0.0,0.0,1.0,1.0,0.0
1405689314814673900,0.0,0.0,0.0,1.0,1.0,0.0
1405689314824862957,0.0,0.0,0.0,1.0,1.0,0.0
1405689314834933996,0.0,0.0,0.0,1.0,1.0,0.0
1405689314844558954,0.0,0.0,0.0,1.0,1.0,0.0
1405689314854393005,0.0,0.0,0.0,1.0,1.0,0.0
1405689314864626884,0.0,0.0,0.0,1.0,1.0,0.0
1405689314874645948,0.0,0.0,0.0,1.0,1.0,0.0
1405689314884702920,0.0,0.0,0.0,1.0,1.0,0.0
1405689314894423007,0.0,0.0,0.0,1.0,1.0,0.0
1405689314904700040,0.0,0.0,0.0,1.0,1.0,0.0
