%time,field.header.seq,field.header.stamp,field.header.frame_id,field.batteryPercent,field.state,field.magX,field.magY,field.magZ,field.pressure,field.temp,field.wind_speed,field.wind_angle,field.wind_comp_angle,field.rotX,field.rotY,field.rotZ,field.altd,field.vx,field.vy,field.vz,field.ax,field.ay,field.az,field.motor1,field.motor2,field.motor3,field.motor4,field.tags_count,field.tm
1405689274962949643,0,1405689274962949643,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412999987602,1.38900005817,8.77999973297,0,0.0,-0.0,-0.0,-0.0227746684104,-0.0273516476154,0.999517798424,0,0,0,0,0,836269248.0
1405689274963289920,1,1405689274963289920,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412999987602,1.38999998569,8.77999973297,0,0.0,-0.0,-0.0,-0.0227699819952,-0.0273542087525,0.999669194221,0,0,0,0,0,836274176.0
1405689274963662822,2,1405689274963662822,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412000000477,1.38999998569,8.77999973297,0,0.0,-0.0,-0.0,-0.0228146538138,-0.0273716989905,0.999639153481,0,0,0,0,0,836279744.0
1405689274966010170,3,1405689274966010170,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412000000477,1.39100003242,8.77999973297,0,0.0,-0.0,-0.0,-0.0228218398988,-0.0273848567158,0.999645531178,0,0,0,0,0,836284224.0
1405689274971709169,4,1405689274971709169,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412000000477,1.39100003242,8.77999973297,0,0.0,-0.0,-0.0,-0.0206217113882,-0.0296582598239,0.999464094639,0,0,0,0,0,836289600.0
1405689274975974638,5,1405689274975974638,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412000000477,1.39100003242,8.78100013733,0,0.0,-0.0,-0.0,-0.0207397397608,-0.0318994447589,0.999378681183,0,0,0,0,0,836294272.0
1405689274980783479,6,1405689274980783479,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412999987602,1.39100003242,8.78100013733,0,0.0,-0.0,-0.0,-0.0212449431419,-0.0313176251948,0.999413311481,0,0,0,0,0,836299264.0
1405689274985534506,7,1405689274985534506,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412999987602,1.39199995995,8.78199958801,0,0.0,-0.0,-0.0,-0.0209670159966,-0.0286881998181,0.999524652958,0,0,0,0,0,836304192.0
1405689274990579553,8,1405689274990579553,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.412000000477,1.39199995995,8.78299999237,0,0.0,-0.0,-0.0,-0.0233219321817,-0.0288935732096,0.999572515488,0,0,0,0,0,836309184.0
1405689274996761731,9,1405689274996761731,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.411000013351,1.39300000668,8.78299999237,0,0.0,-0.0,-0.0,-0.023313280195,-0.0316257663071,0.999441146851,0,0,0,0,0,836314688.0
1405689275010033543,10,1405689275010033543,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.409000009298,1.39300000668,8.78400039673,0,0.0,-0.0,-0.0,-0.0227330569178,-0.0290484409779,0.999547839165,0,0,0,0,0,836319488.0
1405689275010565060,11,1405689275010565060,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.407999992371,1.39400005341,8.78400039673,0,0.0,-0.0,-0.0,-0.0228932201862,-0.0263716839254,0.999680399895,0,0,0,0,0,836324800.0
1405689275011539503,12,1405689275011539503,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.407000005245,1.39400005341,8.78400039673,0,0.0,-0.0,-0.0,-0.0205234419554,-0.0272287875414,0.999589383602,0,0,0,0,0,836329280.0
1405689275015946156,13,1405689275015946156,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.407000005245,1.39400005341,8.78499984741,0,0.0,-0.0,-0.0,-0.0184090733528,-0.027508739382,0.997137665749,0,0,0,0,0,836334208.0
1405689275021909016,14,1405689275021909016,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.407000005245,1.39499998093,8.78600025177,0,0.0,-0.0,-0.0,-0.0190280340612,-0.0274172127247,0.99482178688,0,0,0,0,0,836339200.0
1405689275025693544,15,1405689275025693544,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.405999988317,1.39499998093,8.78600025177,0,0.0,-0.0,-0.0,-0.0193112902343,-0.0274739023298,0.995417952538,0,0,0,0,0,836344192.0
1405689275030480953,16,1405689275030480953,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.404000014067,1.39499998093,8.78699970245,0,0.0,-0.0,-0.0,-0.0168347284198,-0.0273812767118,0.995667994022,0,0,0,0,0,836349248.0
1405689275036841949,17,1405689275036841949,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.402000010014,1.39499998093,8.78800010681,0,0.0,-0.0,-0.0,-0.0145179433748,-0.0273025371134,0.997835695744,0,0,0,0,0,836355456.0
1405689275042170904,18,1405689275042170904,ardrone_base_link,42.0,2,0,0,0,0,0,0.0,0.0,0.0,-0.400999993086,1.39400005341,8.78800010681,0,0.0,-0.0,-0.0,-0.0150445066392,-0.0271749272943,0.997839570045,0,0,0,0,0,836359232.0
